"","WT.NOR.1","WT.NOR.2","WT.NOR.3","WT.TAM.1","WT.TAM.2","WT.TAM.3","KO.NOR.1","KO.NOR.2","KO.NOR.3","KO.TAM.1","KO.TAM.2","KO.TAM.3"
"Gm13840",5.98708232449357,6.3590483975075,6.50283447693543,5.52152957690346,5.80036416194991,5.66490331749068,7.29569655927668,7.56893345301694,7.82426880878168,6.64790571293089,6.69920266399649,7.44901678491893
"Slc6a8",9.38972246192598,9.38822443126145,9.40567155314236,10.7416464806836,11.0101367644079,10.7885392575699,9.64991657429297,9.78768908677469,9.79064732146587,10.3711203001357,10.1418487845436,9.83212646627547
"Pls3",7.17352691845091,7.29222011937332,7.25479951018788,7.89655451224109,8.54355920070272,7.95236817063533,5.65898715585614,5.50044182663032,5.79387372473514,7.34538910826902,6.67795952906335,5.87520832005706
"Radx",9.69435091181518,9.54064060396172,9.48253186390762,7.62452394305583,8.41291879182837,8.31518499232713,8.71917805548236,8.85617064039544,8.85515288126561,5.27686650442321,7.45997613671313,7.73667013680471
"Cenpi",7.73977487475048,7.6818909705878,7.75497971395363,8.21123028882153,7.37471426350571,8.67791091966832,6.78981063935895,6.87045664571347,6.7659368283991,6.32068734436724,6.14674711171249,5.91037767057892
"Etv5",7.62179479157504,7.70915853013462,7.66530722487552,7.44505868988001,7.5468789304794,7.80341100448391,6.91588958451439,7.03817672695846,6.88232099182785,5.97351352707719,6.64982249480091,7.16022582311553
"Golm1",6.8373676959115,6.91212226905651,6.9471467967217,7.22954225128958,7.27644763544743,7.19015030803295,5.96611434504586,6.2322287790699,5.71081421505455,6.42420677970046,6.05253748366794,5.65076288778354
"Akr1c18",5.07623108878989,4.77306908754388,4.79175997855949,3.68623102915799,4.67893685409634,3.92390429778805,3.73680618698269,4.28990389419456,3.49977547016205,5.67143735655347,3.8205031610292,4.20128514692811
"Ankrd28",8.50650645317956,8.64951686208283,8.65371663326434,9.30846336355595,9.26913253987541,9.33352534936826,9.39406723330605,9.35312696244135,9.47390669444101,8.98093358828435,9.13919752817779,9.06110861921339
"Mtbp",7.82198435443838,7.67865662269932,7.80146389806725,7.57584602452242,7.59139586153303,7.82938806671699,6.96196340408698,6.78863381246982,6.87723493918704,6.46047324919792,6.47916309774073,6.39825205906324
"Lmf2",8.14715818223839,8.26829162051885,8.12106935536326,8.76767862669172,8.23472542644734,8.83860229734086,7.32611252754503,7.35184281190105,7.53210943268507,7.85358464527536,7.47680407854944,7.29075784430881
"Espl1",6.3804565132201,6.31780512977093,6.46851741360408,6.72864099394119,6.35621961114722,7.22588690369537,5.76944815803403,5.36100767700542,5.76137351878241,5.64859774531819,5.80927644000931,5.40726411707351
"Tcf19",7.17453797849239,7.33378391224412,7.02739066558972,8.08510586623532,7.4957403357286,8.40632500287914,6.45475174425921,6.56274004083186,6.59168109532852,6.31445622710361,6.463168867835,6.18652722870199
"Smim3",7.01221043567428,7.08582998286065,6.96379507065828,8.54918375471886,8.22048013011068,8.13387002577265,5.71600238003393,5.72779954460764,5.96144825284678,8.2939839969903,7.07281060391861,6.54774588576937
"Psat1",8.62013380549974,8.51842123950699,8.37366619204238,7.5974139615957,8.04214967343225,7.83244041383903,6.88228342342443,7.02225164517569,7.06202107589623,6.13253817747116,6.56928466389413,6.82960761660287
"AW112010",6.44270911753208,6.37219360371362,6.35190906391225,7.7993557191805,7.62380677457768,7.64570975022286,6.0672765550937,6.53049426044837,6.37523322560745,9.20998634206902,8.22828851656276,8.89484267637645
"Ankrd1",5.35144824498377,5.76082416750056,5.70739886837299,6.24322958829078,7.85157162900805,6.61322692696648,5.02118903666604,5.59697353685812,4.86256744620283,5.76216294526913,5.7377381040147,4.6829168606545
"Cenpf",7.50296364132479,7.65595486383824,7.53853010947504,8.38217770599536,7.23837710492395,8.437005195778,6.56558197537276,6.58319649658116,6.70099828297913,6.88147189691287,6.37993487963694,5.56911859220179
"Shmt2",9.28961380159399,9.09224819267704,8.99871513050317,8.32348849013727,8.58265896515517,8.43636053040647,8.21350554260705,8.01241137295455,8.14499355582813,7.16804263118773,7.57859558410454,7.86416162147301
"Slc14a1",6.00750495444636,5.67684480354066,5.64014244003016,5.25079224147336,5.1162823892546,5.39865905076002,6.90312131983382,7.16378781714709,7.15415493464002,5.42109016142552,6.4209054827916,6.24824880496168
"B3gnt5",5.27359897703536,4.96067622826,4.97685222072699,3.96841139332593,4.67748380585725,4.78286789221175,4.14164850981227,3.83856965189113,3.72499288461176,4.14612392549962,4.17656518195506,4.2521416069236
"Zdhhc15",5.28456138320664,5.39791202036754,5.37348714027595,5.90131344207722,6.07724193694505,6.29179605208781,4.38323217410176,4.75502844219771,4.7046821844737,5.21117189761255,4.64841457075394,4.34258497976923
"Card11",7.07213582288993,7.03435636005043,6.99253095755425,5.86813712297873,6.53533344195052,6.18604228553179,8.31354322488857,8.40226007293506,8.48540899651379,6.16159613814722,7.9587926772546,8.01420902748105
"Nusap1",8.67969978750688,8.65930724844054,8.58515249035261,9.21857356605203,8.24677590483074,9.25406997544951,7.11218421673196,7.17346390845029,7.19443253110905,6.9348679415692,6.85816533185178,6.09989322479089
"Cdca2",7.96939847506268,7.97407575016469,7.82082017325414,8.12521398474182,7.65744028074122,8.26330275487076,7.23081320159508,7.08182660887439,7.09719321032809,6.51509000732023,6.75381603261051,6.05503261203298
