"","WT.NOR.1","WT.NOR.2","WT.NOR.3","WT.TAM.1","WT.TAM.2","WT.TAM.3","KO.NOR.1","KO.NOR.2","KO.NOR.3","KO.TAM.1","KO.TAM.2","KO.TAM.3"
"17412418",8.02311288449538,8.09553537644613,8.12368730035474,7.19732674602121,7.3696872276215,7.41167152090328,7.84010516218897,7.95163573349486,7.95194846884479,6.762814799829,7.42611052005544,7.69290959315407
"17219670",6.10387158002919,6.02670523470332,5.48178737861659,4.24034968447334,5.58449391372413,6.55972685189107,6.81225202796262,6.92944593155084,6.98045196735858,5.19223986175559,8.50282114579691,8.80564886921578
"17254289",11.073592584663,10.9384491042,10.7728731999657,11.6304528512711,11.3001729862216,11.2799164264112,10.7115149030154,10.6306157428978,10.7711281208652,11.8699389284915,11.6533021589232,11.5632952963739
"17390614",5.77481751983229,5.59409844162691,5.32528551728467,5.49871454304353,5.41127433318074,5.66236783247513,6.11052822998078,5.87721655554526,5.62976915162348,5.99165512458482,6.33178636450536,6.29959808849527
"17538477",3.18078620890188,2.64032243034829,2.66134918728528,3.31205713983695,3.25248047512996,2.78885030337783,3.05541299696552,2.83027797091877,2.50792928604141,2.98662232992766,2.73872583909708,2.90813787394224
"17334200",5.46119722658809,5.18121077854934,5.29988031206692,4.88408259066705,5.58247985840576,5.19245097123788,4.99483868109556,4.94066220575897,4.93899319164516,5.50121722103324,5.34786290621354,5.48319080170652
"17479183",5.82733879112005,5.61663068987697,5.89595290651346,5.18757483814794,4.984172378261,5.04148790228363,5.79534357317914,6.27350140219303,5.78888063297064,4.87333881033912,5.37698805744022,5.2484704182109
"17506270",3.79183470217956,3.74640243188068,3.93666128942844,3.59871624573939,3.75712068782332,3.85600750509723,4.03602458963569,4.19523739901653,4.15152305769018,4.13626716352716,4.24371609077242,3.77293343203794
"17333373",4.46972073835816,4.86862637008063,4.83313724687827,4.95403486901682,4.50151951286357,5.16477414634691,4.3534850918292,4.29014099630186,4.12128486478141,4.21379773529558,4.35079923185995,4.31820245925709
"17335124",3.58903854495686,4.29504336212498,4.50876573911658,3.96456551159188,4.02699049377159,4.37929677033573,4.88036613979098,4.91128276232759,4.27244455859226,4.2305998431283,4.09176981707599,4.42583399739822
